	y2h	coip	y2h-shared	coip-shared
sf	0.15437879613371933	0.4573704617916251	0.2664048707314835	0.5015902366203268
sp	0.3463599559443698	1.1332155971451086	0.6336746282892162	1.1342689870372935
sc	0.5041114867794779	0.857555819771919	0.6626246200521153	0.8783914907501162
E1-F	0.702047160487257	0.528087669110522	0.5870308715428021	0.5053195147635593
E1-P	0.4336814044577991	-0.041029072085599326	0.23546576560061167	0.08014164181441413
E1-C	-0.004481417679742989	-0.2801516048041812	-0.24668445545464654	-0.342910475246877
set-a-f	1.2464841065402636	1.3578765180553314	1.3791893407074745	1.446515987904928
set-a-p	1.2247066316003712	1.6485501096074509	1.4551821907103086	1.7608875086080025
set-a-c	1.0281514154885594	1.2002168468134489	1.081810211641718	1.1691897506205633
